mw repi rjb rhypo width length depth dip rake strike ztor azimuth rx ry0 rrup vs30 vs30measured ec8_code
6.5 18.6 2.19 20.75090359478353 14.0 26.0 9.2 47.0 -95.0 151.0 0.0124 324.7 -1.2655081973998767 1.7873413222755508 5.73 800 True A
6.0 33.6 26.01 34.562551989110986 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 22.2 10.613635038001988 26.007918738312505 28.94 800 True A
6.5 46.1 33.27 47.00904168348893 14.0 26.0 9.2 47.0 -95.0 151.0 0.0124 3.3 1.9183361300443522 33.27 34.83 800 True A
6.1 26.2 19.91 27.483267636873165 15.0 20.0 8.3 50.0 -90.0 140.0 0.5 108.7 27.28096273662387 9.234096435121842 23.18 800 True A
6.0 128.6 121.42 128.85484080933864 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 338.8 -43.90845529936768 113.20275594358746 121.74 800 True A
6.5 393.5 383.86 393.60753295637016 14.0 26.0 9.2 47.0 -95.0 151.0 0.0124 146.7 213.58035993730059 325.1450235350472 384.05 800 True A
6.1 120.5 105.36 120.87390123595746 11.0 34.0 9.5 40.0 90.0 114.0 1.0 148.5 57.222772810406916 93.37907835284994 105.36 800 True A
6.0 118.7 108.37 118.97400934657956 12.0 22.0 8.07 60.0 90.0 95.0 3.7 156.5 44.11070512647585 101.44767643846166 108.43 800 True A
6.0 383.7 364.58 383.7854869585352 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 148.9 191.00677596009186 316.63555098974416 364.85 800 True A
6.5 365.8 356.16 365.91567334564945 14.0 26.0 9.2 47.0 -95.0 151.0 0.0124 149.2 184.82419399010914 310.0454698459002 356.27 800 True A
6.0 166.4 147.08 166.59702878502966 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 142.3 93.65171671009911 121.17116218003663 147.67 829.0 False A
6.5 148.4 138.8 148.6849017217283 14.0 26.0 9.2 47.0 -95.0 151.0 0.0124 141.9 89.15423504815557 113.70261072674751 139.23 829.0 False A
6.1 125.9 108.87 126.25791064325435 11.0 34.0 9.5 40.0 90.0 114.0 1.0 332.8 -49.764251318880035 96.83076056022357 109.17 829.0 False A
6.0 129.0 122.27 129.25217561031613 12.0 22.0 8.07 60.0 90.0 95.0 3.7 325.4 -69.43025470764277 100.64488378070614 123.09 829.0 False A
6.1 104.4 88.33 104.83134073358025 11.0 34.0 9.5 40.0 90.0 114.0 1.0 133.8 68.00362991042677 65.21313645242424 88.33 800 True A
6.0 98.6 86.37 98.92969675481675 12.0 22.0 8.07 60.0 90.0 95.0 3.7 142.7 54.462574227421314 71.49234783703554 86.45 800 True A
6.0 49.6 45.51 50.8709150694186 6.4 10.0 11.3 35.0 110.0 276.0 6.5 74.9 48.80566903599499 13.168780164818617 45.97 976.0 False A
6.0 59.1 44.9 59.37423683720069 8.0 14.0 5.7 40.0 -85.0 143.0 3.4 161.3 14.904660974611685 44.03392400190247 45.03 800.0 False A
6.1 181.5 176.23 181.74845253811654 11.0 34.0 9.5 40.0 90.0 114.0 1.0 213.0 -95.98173714069821 147.79891418902204 176.23 800 True A
6.0 418.6 398.59 418.6783610362494 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 176.0 27.84506533138552 398.20298620048277 398.59 800 True A
6.5 403.2 390.33 403.30494665947253 14.0 26.0 9.2 47.0 -95.0 151.0 0.0124 177.3 18.402758428642848 390.22955006838583 390.33 800 True A
6.0 370.0 361.59 370.0886515417623 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 325.1 -206.88222637916408 296.5587167971973 361.59 800 True A
6.5 387.9 370.51 388.00908494518524 14.0 26.0 9.2 47.0 -95.0 151.0 0.0124 325.2 -211.455083962759 304.2439934761286 370.51 800 True A
6.0 162.8 149.04 163.0013803622534 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 101.0 156.19919213751038 30.36204725475115 149.64 800 True A
6.5 150.4 144.55 150.68112025068038 14.0 26.0 9.2 47.0 -95.0 151.0 0.0124 96.2 153.13747602970867 16.636053622652454 144.98 800 True A
6.1 200.4 195.69 200.62504828659857 11.0 34.0 9.5 40.0 90.0 114.0 1.0 210.8 -100.20166822652217 168.08986223036172 195.69 800 True A
6.0 213.6 205.05 213.75239156556822 12.0 22.0 8.07 60.0 90.0 95.0 3.7 213.7 -113.77084984821221 170.59219274285547 205.08 800 True A
6.1 328.1 310.85 328.23750547431354 11.0 34.0 9.5 40.0 90.0 114.0 1.0 333.5 -138.70059020518406 278.19034630398954 310.95 800 True A
6.0 330.5 324.26 330.5985101297342 12.0 22.0 8.07 60.0 90.0 95.0 3.7 330.6 -159.1804511472454 282.4997903938327 324.58 800 True A
6.0 375.1 355.23 375.187446485087 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 168.9 68.74316812292274 350.3868560865339 355.23 800 True A
6.5 358.7 346.5 358.81796220367784 14.0 26.0 9.2 47.0 -95.0 151.0 0.0124 170.1 59.8337150856387 342.8317292044209 346.5 800 True A
6.1 150.9 145.18 151.19874338102153 11.0 34.0 9.5 40.0 90.0 114.0 1.0 214.9 -83.06413790682006 119.06964933935421 145.18 800 True A
6.0 164.9 155.86 165.0973497667361 12.0 22.0 8.07 60.0 90.0 95.0 3.7 218.2 -96.38513250042836 122.48365537031817 155.9 800 True A
6.0 55.6 43.08 56.18692018610737 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 102.0 51.92668545157346 11.037357718507216 44.94 800 True A
6.5 44.3 40.8 45.24522074208501 14.0 26.0 9.2 47.0 -95.0 151.0 0.0124 85.7 50.17319006875645 3.772541111671076 42.11 800 True A
6.0 96.9 87.63 97.23795555234592 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 306.9 -70.07636662322375 52.614824345307184 87.63 800 True A
6.0 98.5 90.55 98.83248453823268 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 356.0 -6.316448697530576 90.32942475102706 91.41 800 True A
6.5 114.4 99.23 114.76933388322858 14.0 26.0 9.2 47.0 -95.0 151.0 0.0124 351.5 -14.667127866391253 98.14004412140302 99.74 800 True A
6.0 60.5 54.22 64.37584950895794 8.6 12.1 22.0 83.0 180.0 147.0 1.5 355.6 -4.159705705036102 54.06020022574362 54.68 800 True A
6.0 250.7 241.05 250.83081947798996 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 297.1 -214.585796551512 109.80909988863905 241.05 800 True A
6.0 85.0 69.76 85.38506895236426 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 109.8 74.65845653601592 26.87869826890241 70.95 1046.0 False A
6.0 234.4 224.76 234.53991131575026 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 292.3 -207.95013630438834 85.28656641573927 224.76 800 True A
6.0 254.7 246.06 254.82876603711756 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 321.0 -154.8505754217231 191.2245352761022 246.06 800 True A
6.0 39.6 30.93 40.41992083119411 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 93.8 41.09393425972222 2.729456101958599 33.45 800 True A
6.0 69.5 58.97 69.97042232257856 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 93.4 69.11148200326033 4.1059785989491955 60.35 800 True A
6.0 116.1 110.72 116.38221513616244 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 74.2 116.0248337124039 32.83171859027744 111.49 800 True A
6.0 360.7 341.33 360.79093669326005 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 162.4 104.10563541264455 328.1825445440513 341.33 800 True A
6.0 90.8 72.35 91.16057261777155 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 127.4 63.75182931840049 48.74195396864906 73.5 800 True A
6.0 170.4 161.7 170.59240897531168 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 319.1 -105.87158957809375 122.22150596440738 161.7 800 True A
6.0 249.1 240.36 249.23165930515327 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 318.8 -158.32259863412605 180.85044750217637 240.36 800 True A
6.0 138.4 130.97 138.63682771904442 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 332.3 -60.88036272855337 115.96000316505588 130.97 800 True A
6.0 191.3 181.9 191.47140778716806 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 305.8 -147.53250867415852 106.40380108017449 181.9 800 True A
6.0 94.8 80.69 95.14541502353121 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 104.2 87.85201867044103 22.229978251536007 81.73 800 True A
6.0 84.8 65.05 85.18597302373202 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 166.8 15.213479119524344 64.86299922086033 65.06 800 True A
6.0 246.7 237.04 246.8329394550087 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 297.3 -210.63782882852902 108.7182903949621 237.04 800 True A
6.0 184.0 176.81 184.17820175037002 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 335.1 -74.44334216150605 160.3744521668739 176.81 800 True A
6.0 115.9 108.63 116.18270094984021 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 340.2 -36.797100276246006 102.2078779314975 109.1 800 True A
6.0 370.4 351.39 370.48855582865167 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 151.4 170.50865988641215 312.73500490974294 351.66 800 True A
6.0 390.1 370.88 390.18408476000144 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 145.3 214.41253803398925 309.65102943551574 371.14 800 True A
6.0 89.9 70.89 90.26416786300088 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 155.7 30.65774943845799 67.89938846165983 71.09 800 True A
6.0 204.3 196.12 204.4605096345013 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 325.9 -109.95251961374306 162.39919282616356 196.12 800 True A
6.0 383.0 363.81 383.08564316612024 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 147.6 197.8364253795874 311.7403239157326 364.08 800 True A
6.0 281.9 263.64 282.0163470439258 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 124.2 225.03440608345318 152.93322445068793 264.0 800 True A
6.0 376.9 357.14 376.9870289545782 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 165.8 88.19381636869777 348.53856870979774 357.14 800 True A
6.1 145.9 135.47 146.2089600537532 11.0 34.0 9.5 40.0 90.0 114.0 1.0 52.0 111.90603120948448 87.43057370338235 135.71 800 True A
6.0 129.9 120.7 130.1504318087343 12.0 22.0 8.07 60.0 90.0 95.0 3.7 49.9 95.78930119447143 80.66208149439544 121.53 800 True A
6.0 26.7 22.22 27.90161285660741 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 54.3 24.156339025424536 17.358090479654965 25.62 1091.0 False A
6.5 32.6 25.1 33.87329331494061 14.0 26.0 9.2 47.0 -95.0 151.0 0.0124 20.8 9.534595573804504 25.1 27.15 1091.0 False A
6.1 41.5 35.25 42.321861962820115 15.0 20.0 8.3 50.0 -90.0 140.0 0.5 125.2 34.8821584677593 24.6066559792996 37.07 1091.0 False A
6.0 339.8 331.11 339.8965283729741 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 321.7 -205.21503521768898 259.84730404720904 331.11 800 True A
6.5 357.6 339.83 357.71832494296405 14.0 26.0 9.2 47.0 -95.0 151.0 0.0124 322.0 -209.2202391599184 267.7896943981724 339.83 800 True A
6.5 162.4 145.32 162.66038239227154 14.0 26.0 9.2 47.0 -95.0 151.0 0.0124 324.9 -83.55976322692926 118.89351693620436 145.32 800 True A
6.1 435.4 417.23 435.5036279986654 11.0 34.0 9.5 40.0 90.0 114.0 1.0 327.1 -226.62867575291833 350.3145960796932 417.31 800 True A
6.0 439.7 432.69 439.77404982558943 12.0 22.0 8.07 60.0 90.0 95.0 3.7 325.0 -248.18078824473432 354.4388980434038 432.93 800 True A
6.0 63.9 57.32 64.4113344062984 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 38.5 39.31453764397254 49.42514767080874 58.74 800.0 False A
6.5 71.3 62.8 71.8910981972038 14.0 26.0 9.2 47.0 -95.0 151.0 0.0124 24.6 27.546006201113308 60.16569576051798 63.66 800.0 False A
6.0 40.3 20.37 41.105960638330785 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 174.3 2.0331962991340826 20.369999999999997 20.37 800 True A
6.5 26.0 12.55 27.579702681501118 14.0 26.0 9.2 47.0 -95.0 151.0 0.0124 193.4 -2.9084361888516743 12.208337271527927 12.55 800 True A
6.0 26.5 21.72 27.106087877080306 8.0 14.0 5.7 40.0 -85.0 143.0 3.4 263.2 -21.567210836073983 2.5717341916171987 21.99 800 True A
6.5 128.5 110.38 128.828917561237 14.0 26.0 9.2 47.0 -95.0 151.0 0.0124 316.1 -76.5376938050842 79.53443170727489 110.38 800 True A
6.5 7.8 0.0 12.061509026651681 14.0 26.0 9.2 47.0 -95.0 151.0 0.0124 272.3 4.77398852043749 0.19174318610251492 1.92 800 True A
